Idade,Faltas,Faltas Discretizada
continuous,continuous,Baixo Médio Alto
,,
0.428571,0.08000,Baixo
0.285714,0.0533333,Baixo
0.0000,0.1333333,Baixo
0.0000,0.0266667,Baixo
0.142857,0.0533333,Baixo
0.142857,0.1333333,Baixo
0.142857,0.00000,Baixo
0.285714,0.08000,Baixo
0.0000,0.00000,Baixo
0.0000,0.00000,Baixo
0.0000,0.00000,Baixo
0.0000,0.0533333,Baixo
0.0000,0.0266667,Baixo
0.0000,0.0266667,Baixo
0.0000,0.00000,Baixo
0.142857,0.0533333,Baixo
0.142857,0.08000,Baixo
0.142857,0.0533333,Baixo
0.285714,0.2133333,Baixo
0.142857,0.0533333,Baixo
0.0000,0.00000,Baixo
0.0000,0.00000,Baixo
0.142857,0.0266667,Baixo
0.142857,0.00000,Baixo
0.0000,0.0266667,Baixo
0.142857,0.1866667,Baixo
0.0000,0.0266667,Baixo
0.0000,0.0533333,Baixo
0.142857,0.0533333,Baixo
0.142857,0.2133333,Baixo
0.0000,0.00000,Baixo
0.0000,0.00000,Baixo
0.0000,0.00000,Baixo
0.0000,0.00000,Baixo
0.142857,0.00000,Baixo
0.0000,0.00000,Baixo
0.0000,0.0266667,Baixo
0.142857,0.0933333,Baixo
0.0000,0.0266667,Baixo
0.0000,0.1066667,Baixo
0.142857,0.3333333,Médio
0.0000,0.1066667,Baixo
0.0000,0.0266667,Baixo
0.0000,0.00000,Baixo
0.142857,0.1866667,Baixo
0.0000,0.1066667,Baixo
0.142857,0.16000,Baixo
0.142857,0.0533333,Baixo
0.0000,0.0266667,Baixo
0.0000,0.0266667,Baixo
0.142857,0.0266667,Baixo
0.0000,0.0266667,Baixo
0.0000,0.08000,Baixo
0.0000,0.00000,Baixo
0.0000,0.08000,Baixo
0.142857,0.1066667,Baixo
0.0000,0.00000,Baixo
0.0000,0.0533333,Baixo
0.0000,0.0266667,Baixo
0.142857,0.0266667,Baixo
0.142857,0.08000,Baixo
0.142857,0.08000,Baixo
0.142857,0.0533333,Baixo
0.142857,0.0266667,Baixo
0.0000,0.00000,Baixo
0.142857,0.0266667,Baixo
0.0000,0.0533333,Baixo
0.142857,0.0533333,Baixo
0.0000,0.0266667,Baixo
0.0000,0.16000,Baixo
0.142857,0.00000,Baixo
0.0000,0.00000,Baixo
0.0000,0.0266667,Baixo
0.142857,0.0266667,Baixo
0.142857,0.72000,Médio
0.0000,0.08000,Baixo
0.0000,0.1066667,Baixo
0.142857,0.00000,Baixo
0.285714,0.0266667,Baixo
0.142857,0.16000,Baixo
0.0000,0.0266667,Baixo
0.0000,0.0533333,Baixo
0.0000,0.1333333,Baixo
0.0000,0.0533333,Baixo
0.0000,0.0266667,Baixo
0.0000,0.08000,Baixo
0.142857,0.0533333,Baixo
0.0000,0.0533333,Baixo
0.142857,0.16000,Baixo
0.142857,0.24000,Baixo
0.142857,0.00000,Baixo
0.0000,0.0533333,Baixo
0.142857,0.0533333,Baixo
0.142857,0.00000,Baixo
0.0000,0.08000,Baixo
0.0000,0.0266667,Baixo
0.142857,0.0266667,Baixo
0.142857,0.0266667,Baixo
0.142857,0.08000,Baixo
0.142857,0.00000,Baixo
0.142857,0.1866667,Baixo
0.142857,0.00000,Baixo
0.0000,0.0533333,Baixo
0.0000,0.3466667,Médio
0.0000,0.00000,Baixo
0.0000,0.1333333,Baixo
0.0000,0.1066667,Baixo
0.142857,0.0266667,Baixo
0.0000,0.08000,Baixo
0.142857,0.0533333,Baixo
0.0000,0.08000,Baixo
0.142857,0.00000,Baixo
0.142857,0.08000,Baixo
0.0000,0.1333333,Baixo
0.0000,0.1066667,Baixo
0.142857,0.0266667,Baixo
0.0000,0.0266667,Baixo
0.142857,0.00000,Baixo
0.285714,0.2666667,Médio
0.0000,0.08000,Baixo
0.0000,0.0266667,Baixo
0.0000,0.08000,Baixo
0.142857,0.0266667,Baixo
0.142857,0.24000,Baixo
0.142857,0.00000,Baixo
0.0000,0.00000,Baixo
0.0000,0.00000,Baixo
0.571429,0.0266667,Baixo
0.428571,0.00000,Baixo
0.142857,0.1066667,Baixo
0.0000,0.00000,Baixo
0.0000,0.00000,Baixo
0.285714,0.16000,Baixo
0.142857,0.2133333,Baixo
0.0000,0.00000,Baixo
0.0000,0.00000,Baixo
0.285714,0.00000,Baixo
0.142857,0.00000,Baixo
0.142857,0.00000,Baixo
0.0000,0.00000,Baixo
0.0000,0.00000,Baixo
0.142857,0.1066667,Baixo
0.0000,0.0266667,Baixo
0.142857,0.0266667,Baixo
0.285714,0.00000,Baixo
0.0000,0.00000,Baixo
0.0000,0.00000,Baixo
0.0000,0.0266667,Baixo
0.142857,0.00000,Baixo
0.0000,0.00000,Baixo
0.428571,0.00000,Baixo
0.142857,0.08000,Baixo
0.0000,0.1066667,Baixo
0.571429,0.00000,Baixo
0.285714,0.00000,Baixo
0.0000,0.0266667,Baixo
0.285714,0.1066667,Baixo
0.428571,0.08000,Baixo
0.142857,0.0266667,Baixo
0.142857,0.0533333,Baixo
0.285714,0.00000,Baixo
