escola,sexo,idade,endereco,tamanho_familia,status_pais,escolaridade_mae,escolaridade_pai,trabalho_mae,trabalho_pai,motivo_escolha,responsavel,tempo_deslocamento,tempo_estudo,reprovacoes,apoio_escola,apoio_familia,aulas_particulares,atividades_extracurriculares,creche,ensino_superior,internet,relacionamento,relacao_familiar,tempo_livre,sair_amigos,alcool_dias_uteis,alcool_fim_semana,saude,faltas,nota_1,nota_2,nota_final
GP,F,18,U,MA3,S,4,4,em_casa,professor,preferencia_curso,mae,2,2,0,S,N,N,N,S,S,N,N,4,3,4,1,1,3,6,5,6,6
GP,F,17,U,MA3,J,1,1,em_casa,outro,preferencia_curso,pai,1,2,0,N,S,N,N,N,S,S,N,5,3,3,1,1,3,4,5,5,6
GP,F,15,U,ME3,J,1,1,em_casa,outro,outro,mae,1,2,3,S,N,S,N,S,S,S,N,4,3,2,2,3,3,10,7,8,10
GP,F,15,U,MA3,J,4,2,saude,servicos_publicos,perto_casa,mae,1,3,0,N,S,S,S,S,S,S,S,3,2,2,1,1,5,2,15,14,15
GP,F,16,U,MA3,J,3,3,outro,outro,perto_casa,pai,1,2,0,N,S,S,N,S,S,N,N,4,3,2,1,2,5,4,6,10,10
GP,M,16,U,ME3,J,4,3,servicos_publicos,outro,reputacao,mae,1,2,0,N,S,S,S,S,S,S,N,5,4,2,1,2,5,10,15,15,15
GP,M,16,U,ME3,J,2,2,outro,outro,perto_casa,mae,1,2,0,N,N,N,N,S,S,S,N,4,4,4,1,1,3,0,12,12,11
GP,F,17,U,MA3,S,4,4,outro,professor,perto_casa,mae,2,2,0,S,S,N,N,S,S,N,N,4,1,4,1,1,1,6,6,5,6
GP,M,15,U,ME3,S,3,2,servicos_publicos,outro,perto_casa,mae,1,2,0,N,S,S,N,S,S,S,N,4,2,2,1,1,1,0,16,18,19
GP,M,15,U,MA3,J,3,4,outro,outro,perto_casa,mae,1,2,0,N,S,S,S,S,S,S,N,5,5,1,1,1,5,0,14,15,15
GP,F,15,U,MA3,J,4,4,professora,saude,reputacao,mae,1,2,0,N,S,S,N,S,S,S,N,3,3,3,1,2,2,0,10,8,9
GP,F,15,U,MA3,J,2,1,servicos_publicos,outro,reputacao,pai,3,3,0,N,S,N,S,S,S,S,N,5,2,2,1,1,4,4,10,12,12
GP,M,15,U,ME3,J,4,4,saude,servicos_publicos,preferencia_curso,pai,1,1,0,N,S,S,S,S,S,S,N,4,3,3,1,3,5,2,14,14,14
GP,M,15,U,MA3,J,4,3,professora,outro,preferencia_curso,mae,2,2,0,N,S,S,N,S,S,S,N,5,4,3,1,2,3,2,10,10,11
GP,M,15,U,MA3,S,2,2,outro,outro,perto_casa,outro,1,3,0,N,S,N,N,S,S,S,S,4,5,2,1,1,3,0,14,16,16
GP,F,16,U,MA3,J,4,4,saude,outro,perto_casa,mae,1,1,0,N,S,N,N,S,S,S,N,4,4,4,1,2,2,4,14,14,14
GP,F,16,U,MA3,J,4,4,servicos_publicos,servicos_publicos,reputacao,mae,1,3,0,N,S,S,S,S,S,S,N,3,2,3,1,2,2,6,13,14,14
GP,F,16,U,MA3,J,3,3,outro,outro,reputacao,mae,3,2,0,S,S,N,S,S,S,N,N,5,3,2,1,1,4,4,8,10,10
GP,M,17,U,MA3,J,3,2,servicos_publicos,servicos_publicos,preferencia_curso,mae,1,1,3,N,S,N,S,S,S,S,N,5,5,5,2,4,5,16,6,5,5
GP,M,16,U,ME3,J,4,3,saude,outro,perto_casa,pai,1,1,0,N,N,S,S,S,S,S,N,3,1,3,1,3,5,4,8,10,10
GP,M,15,U,MA3,J,4,3,professora,outro,reputacao,mae,1,2,0,N,N,N,N,S,S,S,N,4,4,1,1,1,1,0,13,14,15
GP,M,15,U,MA3,J,4,4,saude,saude,outro,pai,1,1,0,N,S,S,N,S,S,S,N,5,4,2,1,1,5,0,12,15,15
GP,M,16,U,ME3,J,4,2,professora,outro,preferencia_curso,mae,1,2,0,N,N,N,S,S,S,S,N,4,5,1,1,3,5,2,15,15,16
GP,M,16,U,ME3,J,2,2,outro,outro,reputacao,mae,2,2,0,N,S,N,S,S,S,S,N,5,4,4,2,4,5,0,13,13,12
GP,F,15,R,MA3,J,2,4,servicos_publicos,saude,preferencia_curso,mae,1,3,0,S,S,S,S,S,S,S,N,4,3,2,1,1,5,2,10,9,8
GP,F,16,U,MA3,J,2,2,servicos_publicos,servicos_publicos,perto_casa,mae,1,1,2,N,S,S,N,N,S,S,N,1,2,2,1,3,5,14,6,9,8
GP,M,15,U,MA3,J,2,2,outro,outro,perto_casa,mae,1,1,0,N,S,S,N,S,S,S,N,4,2,2,1,2,5,2,12,12,11
GP,M,15,U,MA3,J,4,2,saude,servicos_publicos,outro,mae,1,1,0,N,N,S,N,S,S,S,N,2,2,4,2,4,1,4,15,16,15
GP,M,16,U,ME3,S,3,4,servicos_publicos,outro,perto_casa,mae,1,2,0,S,S,N,S,S,S,S,N,5,3,3,1,1,5,4,11,11,11
GP,M,16,U,MA3,J,4,4,professora,professor,perto_casa,mae,1,2,0,N,S,S,S,S,S,S,S,4,4,5,5,5,5,16,10,12,11
GP,M,15,U,MA3,J,4,4,saude,servicos_publicos,perto_casa,mae,1,2,0,N,S,S,N,N,S,S,N,5,4,2,3,4,5,0,9,11,12
GP,M,15,U,MA3,J,4,4,servicos_publicos,servicos_publicos,reputacao,mae,2,2,0,N,S,N,S,S,S,S,N,4,3,1,1,1,5,0,17,16,17
GP,M,15,R,MA3,J,4,3,professora,em_casa,preferencia_curso,mae,1,2,0,N,S,N,S,S,S,S,S,4,5,2,1,1,5,0,17,16,16
GP,M,15,U,ME3,J,3,3,outro,outro,preferencia_curso,mae,1,2,0,N,N,N,S,N,S,S,N,5,3,2,1,1,2,0,8,10,12
GP,M,16,U,MA3,J,3,2,outro,outro,perto_casa,mae,1,1,0,N,S,S,N,N,S,S,N,5,4,3,1,1,5,0,12,14,15
GP,F,15,U,MA3,J,2,3,outro,outro,outro,pai,2,1,0,N,S,N,S,S,S,N,N,3,5,1,1,1,5,0,8,7,6
GP,M,15,U,ME3,J,4,3,professora,servicos_publicos,perto_casa,mae,1,3,0,N,S,N,S,S,S,S,N,5,4,3,1,1,4,2,15,16,18
GP,M,16,R,MA3,S,4,4,outro,professor,reputacao,mae,2,3,0,N,S,N,S,S,S,S,S,2,4,3,1,1,5,7,15,16,15
GP,F,15,R,MA3,J,3,4,servicos_publicos,saude,preferencia_curso,mae,1,3,0,S,S,S,S,S,S,S,N,4,3,2,1,1,5,2,12,12,11
GP,F,15,R,MA3,J,2,2,em_casa,outro,reputacao,mae,1,1,0,S,S,S,S,S,S,N,N,4,3,1,1,1,2,8,14,13,13
GP,F,16,U,ME3,J,2,2,outro,outro,perto_casa,mae,2,2,1,N,S,N,S,N,S,S,S,3,3,3,1,2,3,25,7,10,11
GP,M,15,U,ME3,J,4,4,professora,outro,perto_casa,outro,1,1,0,N,S,N,N,N,S,S,S,5,4,3,2,4,5,8,12,12,12
GP,M,15,U,MA3,J,4,4,servicos_publicos,professor,preferencia_curso,pai,1,2,0,N,S,N,S,S,S,S,N,4,3,3,1,1,5,2,19,18,18
GP,M,15,U,MA3,J,2,2,servicos_publicos,servicos_publicos,preferencia_curso,pai,1,1,0,S,S,N,N,S,S,S,N,5,4,1,1,1,1,0,8,8,11
GP,F,16,U,ME3,J,2,2,outro,em_casa,preferencia_curso,pai,2,2,1,S,N,N,S,S,S,S,N,4,3,3,2,2,5,14,10,10,9
GP,F,15,U,ME3,S,4,3,outro,outro,preferencia_curso,mae,1,2,0,S,S,S,S,S,S,S,S,5,2,2,1,1,5,8,8,8,6
GP,F,16,U,ME3,S,3,3,outro,servicos_publicos,perto_casa,mae,1,2,0,N,S,N,N,S,S,S,N,2,3,5,1,4,3,12,11,12,11
GP,M,16,U,MA3,J,4,3,saude,servicos_publicos,reputacao,mae,1,4,0,N,N,N,S,S,S,S,N,4,2,2,1,1,2,4,19,19,20
GP,M,15,U,MA3,J,4,2,professora,outro,perto_casa,mae,1,2,0,N,S,S,N,S,S,N,N,4,3,3,2,2,5,2,15,15,14
GP,F,15,U,MA3,J,4,4,servicos_publicos,professor,outro,pai,1,2,1,S,S,N,S,N,S,S,N,4,4,4,1,1,3,2,7,7,7
GP,F,16,U,ME3,J,2,2,servicos_publicos,servicos_publicos,preferencia_curso,mae,3,2,0,N,S,S,N,S,S,S,N,4,3,3,2,3,4,2,12,13,13
GP,F,15,U,ME3,J,4,2,saude,outro,outro,mae,1,2,0,N,S,S,N,S,S,S,N,4,3,3,1,1,5,2,11,13,13
GP,M,15,U,ME3,S,4,2,saude,saude,outro,pai,2,1,1,N,N,N,N,S,S,N,N,5,5,5,3,4,5,6,11,11,10
GP,F,15,U,MA3,J,4,4,servicos_publicos,servicos_publicos,preferencia_curso,mae,1,1,0,S,S,S,N,S,S,S,N,3,3,4,2,3,5,0,8,10,11
GP,F,15,U,ME3,S,3,3,outro,outro,outro,mae,1,1,0,N,N,S,N,S,S,S,N,5,3,4,4,4,1,6,10,13,13
GP,F,16,U,MA3,S,2,1,outro,outro,outro,mae,1,2,0,N,N,S,S,S,S,S,S,5,3,4,1,1,2,8,8,9,10
GP,F,15,U,MA3,S,4,3,servicos_publicos,servicos_publicos,reputacao,mae,1,2,0,N,S,S,S,S,S,S,N,4,3,2,1,1,1,0,14,15,15
